n,round,algorithm,time_ns,operations,comparisons,push,pop,loops,result
100,1,A,1978000,1190,197,298,297,398,100
100,1,B,304300,991,197,298,297,199,100
100,2,A,1616000,1190,197,298,297,398,100
100,2,B,270100,991,197,298,297,199,100
100,3,A,1103300,1190,197,298,297,398,100
100,3,B,213500,991,197,298,297,199,100
100,4,A,925200,1190,197,298,297,398,100
100,4,B,177700,991,197,298,297,199,100
100,5,A,805000,1190,197,298,297,398,100
100,5,B,171300,991,197,298,297,199,100
1000,1,A,6891600,11990,1997,2998,2997,3998,1000
1000,1,B,1690100,9991,1997,2998,2997,1999,1000
1000,2,A,6807300,11990,1997,2998,2997,3998,1000
1000,2,B,1464200,9991,1997,2998,2997,1999,1000
1000,3,A,5496200,11990,1997,2998,2997,3998,1000
1000,3,B,1118200,9991,1997,2998,2997,1999,1000
1000,4,A,5567700,11990,1997,2998,2997,3998,1000
1000,4,B,1131100,9991,1997,2998,2997,1999,1000
1000,5,A,4579400,11990,1997,2998,2997,3998,1000
1000,5,B,1047200,9991,1997,2998,2997,1999,1000
10000,1,A,12222000,119990,19997,29998,29997,39998,10000
10000,1,B,1692600,99991,19997,29998,29997,19999,10000
10000,2,A,10090500,119990,19997,29998,29997,39998,10000
10000,2,B,2556300,99991,19997,29998,29997,19999,10000
10000,3,A,17850800,119990,19997,29998,29997,39998,10000
10000,3,B,2559700,99991,19997,29998,29997,19999,10000
10000,4,A,14317400,119990,19997,29998,29997,39998,10000
10000,4,B,1416900,99991,19997,29998,29997,19999,10000
10000,5,A,12671200,119990,19997,29998,29997,39998,10000
10000,5,B,1460900,99991,19997,29998,29997,19999,10000
50000,1,A,24207800,599990,99997,149998,149997,199998,50000
50000,1,B,2905500,499991,99997,149998,149997,99999,50000
50000,2,A,31565700,599990,99997,149998,149997,199998,50000
50000,2,B,2699600,499991,99997,149998,149997,99999,50000
50000,3,A,22327100,599990,99997,149998,149997,199998,50000
50000,3,B,2703100,499991,99997,149998,149997,99999,50000
50000,4,A,22079100,599990,99997,149998,149997,199998,50000
50000,4,B,2674400,499991,99997,149998,149997,99999,50000
50000,5,A,23820300,599990,99997,149998,149997,199998,50000
50000,5,B,3122500,499991,99997,149998,149997,99999,50000
